source,target,created_at,is_reciprocal
cdb85983-6846-43f9-a354-7f0e7c69874b,bc7a2605-10c8-4763-ab4d-85a6e01f932a,2025-11-17 15:33:36.785399+00,true
cf726e83-c0f3-45ce-bc23-92718c3e762d,24052501-290c-4549-8051-e3a0475ef848,2025-07-29 09:23:19.438812+00,false
357f6949-e045-43e6-b24a-82c54a65f60c,3a7dbe42-0df1-40c5-84db-41980e1bd8d9,2025-11-29 12:42:05.835503+00,false
935efafa-d8cd-45d3-bfee-8fd8b58f6d78,55608441-e64a-414f-a0b0-9b785c3fd468,2025-10-03 15:15:56.034253+00,true
b1640bd5-7937-460d-987a-98b3cb27b471,e6121d8a-e82f-43e3-9657-c26308f1f83a,2025-12-11 11:38:01.951189+00,true
ba77f4af-a44b-4fe8-8d7d-ade12feb088c,b1640bd5-7937-460d-987a-98b3cb27b471,2025-12-11 11:38:12.206363+00,true
3f377267-bbc4-47f4-a1a1-bfc7e33e38d3,45c9a738-29a9-49dc-ae84-ee0dd518f797,2025-10-06 04:17:04.198833+00,true
01c5031b-8af9-45ac-8272-d0a29cc1c4f0,0813f0a0-23cd-4455-971a-9184578722e8,2025-12-21 07:48:42.744441+00,false
01c5031b-8af9-45ac-8272-d0a29cc1c4f0,d7c685db-920f-41f8-a300-2d270a859518,2026-01-04 17:11:54.555338+00,false
c15f5b19-739b-4eb6-92c9-7824aff3bea6,0359ac16-7ed8-4ba8-ba05-06864be45af0,2025-10-07 18:20:33.711783+00,false
6e26bb99-1465-4cb9-acca-5504263941bb,1c54c12e-7b00-454f-976b-8e0e2c88e413,2026-01-09 14:59:50.186256+00,true
3f377267-bbc4-47f4-a1a1-bfc7e33e38d3,4174f6e0-9780-4bf7-bc68-1240dfda43eb,2026-02-09 06:59:15.46719+00,true
84dabc13-21ad-4c6e-a5d1-c6a5519012a3,128cf989-aaaa-4382-b9bf-04f9395a2e97,2026-04-19 23:39:41.67448+00,false
7f9185b9-08f4-42c6-ac19-63c66b2ab5fc,2860d2bf-d3ad-4b4e-b647-64f380570971,2025-08-30 18:16:24.422356+00,true
8db92e65-7e3c-41a9-86b4-0c2f95e17c2c,882a4734-8505-474e-b23d-53420702df26,2025-09-01 05:27:17.158284+00,true
