reason_index,reason_text,reason_length,created_at
5,,0,2025-11-20 21:20:15.757756+00
6,,0,2025-11-21 15:46:59.842003+00
4,,0,2025-11-23 20:29:11.697636+00
5,,0,2025-11-24 09:16:36.450211+00
0,,0,2025-11-24 14:02:32.149134+00
7,앙 기모링 QA띠,9,2025-11-24 15:06:36.958638+00
4,,0,2025-11-26 16:02:22.604154+00
3,,0,2025-11-26 19:16:09.048173+00
4,,0,2025-11-27 11:11:53.198045+00
6,,0,2025-11-28 13:52:32.524431+00
6,,0,2025-11-28 20:20:04.605994+00
7,"나 정유준, QA용임",11,2025-11-28 21:28:06.339499+00
5,,0,2025-11-29 19:36:37.790391+00
0,,0,2025-11-29 21:17:32.139482+00
7,,0,2025-11-29 23:43:27.879239+00
5,,0,2025-11-30 16:50:34.581242+00
7,,0,2025-11-30 21:12:23.171786+00
0,,0,2025-11-30 22:33:14.207198+00
5,,0,2025-12-01 13:32:59.653713+00
4,,0,2025-12-02 11:46:22.674296+00
5,,0,2025-12-02 22:00:14.841475+00
5,,0,2025-12-03 17:39:16.836674+00
1,,0,2025-12-06 00:09:18.83385+00
5,,0,2025-12-06 20:19:29.650169+00
5,,0,2025-12-06 23:59:00.656331+00
7,,0,2025-12-08 11:43:18.727705+00
5,,0,2025-12-08 23:52:48.906492+00
7,공유되는게 싫어요,9,2025-12-10 19:34:26.894677+00
3,,0,2025-12-10 21:09:09.739557+00
0,,0,2025-12-11 22:21:16.326621+00
4,,0,2025-12-13 22:54:15.835064+00
5,,0,2025-12-16 17:48:26.898364+00
5,,0,2025-12-16 23:43:50.448516+00
5,,0,2025-12-17 12:12:40.627735+00
0,,0,2025-12-19 15:53:03.516699+00
0,,0,2025-12-25 14:19:31.679229+00
6,,0,2025-12-27 20:56:02.685866+00
5,,0,2025-12-28 11:21:17.947507+00
5,,0,2025-12-31 19:28:32.42281+00
5,,0,2026-01-01 17:47:24.975628+00
5,,0,2026-01-02 15:51:22.654123+00
5,,0,2026-01-05 01:24:42.41689+00
5,,0,2026-01-05 10:28:35.752902+00
5,,0,2026-01-08 23:43:09.561867+00
5,,0,2026-01-11 10:11:12.761546+00
5,,0,2026-01-18 16:15:31.109085+00
7,,0,2026-01-19 04:50:24.081922+00
4,,0,2026-01-24 12:16:51.563931+00
5,,0,2026-01-25 00:15:25.374985+00
4,,0,2026-01-28 09:09:08.047571+00
7,,0,2026-02-06 21:19:00.038569+00
5,,0,2026-02-07 08:08:43.11705+00
4,,0,2026-02-09 08:51:45.725685+00
4,,0,2026-02-10 16:20:27.660685+00
5,,0,2026-02-12 05:55:25.404281+00
6,,0,2026-02-13 17:00:15.459757+00
5,,0,2026-02-22 16:35:09.33429+00
5,,0,2026-02-27 18:31:38.395054+00
5,,0,2026-02-27 19:09:10.670055+00
2,,0,2026-02-27 19:09:43.021171+00
2,,0,2026-02-27 19:10:35.486928+00
4,,0,2026-02-27 19:11:00.069339+00
5,,0,2026-03-12 15:33:37.702812+00
0,,0,2026-03-15 01:06:10.482774+00
4,,0,2026-03-20 00:12:44.447207+00
5,,0,2026-03-31 23:01:17.97912+00
7,,0,2026-04-11 03:51:16.697498+00
5,,0,2026-04-15 10:41:18.436247+00
4,,0,2026-05-13 17:02:20.313016+00
1,,0,2026-05-17 12:15:20.697426+00
